Country,Year,GDP_rise,Gini,Agg_dem,Agg_sup,Avg CPI,Eco_Equ,Per_cap,mar_cost,inf_rate,int_rate
Nigeria,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Ethiopia,1950,2.1,15.61,1.15,8.55,34.8,258.66,2.1,15.61,2.1,15.61
Egypt,1950,0.468,3.48,1.15,8.55,34.8,258.66,0.468,3.48,0.66,4.91
DRcongo,1950,0.15625,1.16,1.15,8.55,34.8,258.66,0.15625,1.16,0.15625,1.16
Tanzania,1950,1.65,12.26,1.15,8.55,34.8,258.66,1.65,12.26,1.65,12.26
SouthAfrica,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1.25,9.29
Kenya,1950,1.4,10.41,1.15,8.55,34.8,258.66,1.4,10.41,1.4,10.41
Uganda,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Algeria,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.4,10.41
Sudan,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Morocco,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Angola,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Mozambique,1950,1.25,9.29,1.15,8.55,34.8,258.66,1.25,9.29,1.25,9.29
Ghana,1950,1.15,8.55,1.15,8.55,34.8,258.66,1.15,8.55,1.15,8.55
Madagascar,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Cameron,1950,1.15,8.55,1.15,8.55,34.8,258.66,1.15,8.55,1.15,8.55
cotetrichy,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
Niger,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
BurkinaFaso,1950,0.65,4.83,1.15,8.55,34.8,258.66,0.65,4.83,0.75,5.57
mali,1950,0,0,1.15,8.55,34.8,258.66,0,0,0,0
malawi,1950,1.4,10.41,1.15,8.55,34.8,258.66,1.4,10.41,1.4,10.41
Zambia,1950,1,7.43,1.15,8.55,34.8,258.66,1,7.43,1.15,8.55
